AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
1.0,SÃO CRISTÓVÃO,AV ROTARY INTERNACIONAL,AV PEDRO II,RUA DO PARQUE,PAR,99,ÚNICO (dias/horários especiais),"SÁB, DOM E FERIADOS DAS 7H ÀS 18H",BOLSÃO,"BOLSÃO EM ÁREA LIVRE , ENTRE O Nº400 DA AV PEDRO II E O Nº31 DA RUA DO PARQUE, JUNTO ÀS EDIFICAÇÕES/RIO",,RESOLUÇÃO SMTR Nº:1.567 (DO 08/08/2006) - I -
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,AV DO EXÉRCITO,RUA FIGUEIRA DE MELO,ÍMPAR,66,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,A 45 GRAUS DA VIA,ENTRE OS Nº: 115-177,JUNTO AO COLÉGIO PEDRO II,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,AV DO EXÉRCITO,RUA FIGUEIRA DE MELO,CANTEIRO CENTRAL,30,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,LADO OPOSTO ÀS EDIFICAÇÕES,LADO OPOSTO AO COL PEDRO II,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA ALMIRANTE MARIATH,RUA IGREJINHA,PAR ,4,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,"ENTRE OS Nº:  96-110/NA PISTA INTERNA, NO LADO DIREITO DA VIA, NA BAIA",,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA ALMIRANTE MARIATH,RUA VINTE CINCO DE MARÇO,PAR ,5,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,ENTRE OS Nº:  96A-110 (NA BAIA),,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA ALMIRANTE MARIATH,RUA VINTE CINCO DE MARÇO,ÍMPAR,5,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,LADO OPOSTO AOS Nº: 120-138 (NA BAIA),,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA ESBERARD,ALÇA DE DESCIDA DA LINHA VERMELHA,-,16,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE TER A DOM DAS 19H ÀS 24H,AO LONGO DA VIA,BAIA,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA ESBERARD,RUA GENERAL ARGOLO,PAR ,17,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA GENERAL ARGOLO,RUA SÃO LUIZ GONZAGA,PAR ,4,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA GENERAL ARGOLO,RUA SÃO LUIZ GONZAGA,PAR ,2,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,ENTRE OS Nº: 406-410,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA IGREJINHA,RUA VINTE E CINCO DE MARÇO,PAR ,8,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,ENTRE OS Nº: 22-44,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA IGREJINHA,RUA VINTE E CINCO DE MARÇO,ÍMPAR,7,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,LADO OPOSTO Nº: 48 (NA BAIA),,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA IGREJINHA,RUA ALMIRANTE MARIATH,PAR ,17,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,"ENTRE OS Nº:  48-84 /NA PISTA INTERNA,NO LADO DIREITO DA VIA,NA BAIA",,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA IGREJINHA,RUA ALMIRANTE MARIATH,PAR ,6,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,"ENTRE OS Nº:  84-96 /NA PISTA INTERNA,NO LADO DIREITO DA VIA,NA BAIA",,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA LEONOR PORTO,RUA ESBERARD,PAR ,13,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,ENTRE OS Nº: 254-300,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,RUA VINTE E CINCO DE MARÇO,RUA ALMIRANTE MARIATH,PAR ,7,ÚNICO (dias/horários especiais),SEX A DOM DAS 20H DE SEX ÀS 24H DE DOM,AO LONGO DA VIA,LADO OPOSTO À RUA VINTE E CINCO DE MARÇO ATÉ O Nº: 84 (NA BAIA),,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA CHAVES FARIA,RUA SÃO LUIZ GONZAGA,RUA SÁBINO VIEIRA,ÍMPAR,14,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:  65 ,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA DOM MEINRADO,AV ROTARY INTERNACIONAL,RUA SABINO VIEIRA,PAR,63,ÚNICO (dias/horários especiais),"SÁB, DOM E FERIADOS DAS 7H ÀS 18H",BOLSÃO,BOLSÃO EM ÁREA LIVRE AO LADO DA QUADRA DE FUTEBOL ,,RESOLUÇÃO SMTR Nº:1.567 (DO 08/08/2006) - II -
1.0,SÃO CRISTÓVÃO,RUA DOM MEINRADO,RUA SABINO VIEIRA,LARGO DA CANCELA,PAR,33,ÚNICO (dias/horários especiais),"SÁB, DOM E FERIADOS DAS 7H ÀS 18H",BOLSÃO,BOLSÃO EM ÁREA LIVRE JUNTO ÀS EDIFICAÇÕES,,RESOLUÇÃO SMTR Nº:1.567 (DO 08/08/2006) - III -
1.0,SÃO CRISTÓVÃO,RUA ESCOBAR,RUA SÃO CRISTÓVÃO,CAMPO DE SÃO CRISTÓVÃO,ÍMPAR,4,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  55-73,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA ESCOBAR,RUA SÃO CRISTÓVÃO,RUA SOUZA VALENTE,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  3-17,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA ESCOBAR,RUA SÃO CRISTÓVÃO,RUA SOUZA VALENTE,ÍMPAR,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  25-35,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA ESCOBAR,RUA SOUZA VALENTE,RUA SANTOS LIMA,ÍMPAR,14,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  83-99,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,AV PEDRO II,RUA HERMES FONTES,ÍMPAR,15,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  263-279,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA ANTUNES MACIEL,AV.PEDRO II,IMPAR,19,ROTATIVO 2H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,LADO OPOSTO AOS Nº:230-200,,33.633 (DO 10/04/2006) - art.1º
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA FROLICK,CAMPO DE SÃO CRISTÓVÃO,ÍMPAR,14,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  454-426,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA HERMES FONTES,RUA SÃO CRISTÓVÃO,ÍMPAR,17,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  301-335,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA SÃO CRISTÓVÃO,RUA SOUZA VALENTE,PAR,32,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA SÃO CRISTÓVÃO,RUA SOUZA VALENTE,ÍMPAR,31,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  410-366,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA FONSECA TELES,RUA MINEIRA,RUA SÃO CRISTÓVÃO,PAR,13,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,LADO OPOSTO AOS Nº:113-101,,34.911 (DO 16/08/2006) - I -
1.0,SÃO CRISTÓVÃO,RUA FONSECA TELES,RUA MINEIRA,RUA SÃO CRISTÓVÃO,PAR,12,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº:99 (LD/OP) - 62,,34.911 (DO 16/08/2006) - II -
1.0,SÃO CRISTÓVÃO,RUA FONSECA TELES,RUA MINEIRA,RUA SÃO CRISTÓVÃO,PAR,9,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº:50 - 29(LD/OP),,34.911 (DO 16/08/2006) - III -
1.0,SÃO CRISTÓVÃO,RUA FONSECA TELES,RUA MINEIRA,RUA SÃO CRISTÓVÃO,PAR,5,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº:12 - 6,,34.911 (DO 16/08/2006) - IV -
1.0,SÃO CRISTÓVÃO,RUA FRANCISCO EUGÊNIO,AV FRANCISCO BICALHO,,PAR,71,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,"JUNTO AO CANAL, término lado oposto à lateral da edif nº:94",,31.522 ( DO 08/09/05)
1.0,SÃO CRISTÓVÃO,RUA FRANCISCO EUGÊNIO,RUA MELO E SOUZA,RUA GOTEMBERGO,PAR,18,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,JUNTO ÀS EDIFICAÇÕES,,31.522 ( DO 08/09/05)
1.0,SÃO CRISTÓVÃO,RUA FRANCISCO EUGÊNIO,RUA GOTEMBERGO,,PAR,4,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,"JUNTO ÀS EDIFICAÇÕES, término e/f ao nº:94",,31.522 ( DO 08/09/05)
1.0,SÃO CRISTÓVÃO,RUA GENERAL HERCULANO GOMES,AV PEDRO II,RUA JOSÉ EUGÊNIO,DIREITO,25,ÚNICO (dias/horários especiais),"SÁB, DOM E FERIADOS DAS 7H ÀS 18H",A 90 GRAUS DA VIA,"NA BAIA E/F A AV PEDRO II, INÍCIO APÓS O PORTÃO DE ACESSO À QUINTA B.V.",,32.089 (DO 08/11/2005) E 32.211(DO 23/11/2005)
1.0,SÃO CRISTÓVÃO,RUA GENERAL HERCULANO GOMES,AV PEDRO II,RUA JOSÉ EUGÊNIO,DIREITO,80,ÚNICO (dias/horários especiais),"SÁB, DOM E FERIADOS DAS 7H ÀS 18H",AO LONGO DA VIA,"JUNTO AO MURO DA QUINTA B.VISTA; INÍCIO APÓS A BAIA DE ESTACIONAMENTO, TÉRMINO A 5 METROS ANTES DA FAIXA DE PEDESTRES DO SEMÁFORO E/F À ESTAÇÃO DE TREM DE S.CRISTÓVÃO.",,32.089 (DO 08/11/2005) E 32.211(DO 23/11/2005)
1.0,SÃO CRISTÓVÃO,RUA PREF OLÍMPIO DE MELO,PÇA NATIVIDADE,-,-,30,ÚNICO (dias/horários especiais),SÁB DAS 7H ÀS 19H,A 45 GRAUS DA VIA,BAIA,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA ESCOBAR,RUA FIGUEIRA DE MELO,ÍMPAR,18,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 45 GRAUS DA VIA,ENTRE OS Nº:  853-793,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA ESCOBAR,RUA BENEDITO OTONI,ÍMPAR,46,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  921-895,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA ESCOBAR,PÇA MARIO NAZARÉ,PAR,20,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:  870,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA EUCLIDES DA CUNHA,AV PEDRO II,ÍMPAR,7,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  357-329,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA FONSECA TELES,ÍMPAR,36,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  693-617,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA FIGUEIRA DE MELO,RUA SANTA GENOVEVA,ÍMPAR,30,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  587-471,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SÃO CRISTÓVÃO,RUA FONSECA TELES,RUA EUCLIDES DA CUNHA,PAR,23,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  440-320,,28.009 D (DO 17/09/2004)
1.0,SÃO CRISTÓVÃO,RUA SOUZA VALENTE,RUA FIGUEIRA DE MELO,RUA ESCOBAR,AMBOS,31,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,LADO PAR-TODO O TRECHO/LADO ÍMPAR-DO Nº: 15 ATÉ A RUA ESCOBAR,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,AV BARÃO DE TEFÉ,AV VENEZUELA,AV RODRIGUES ALVES,PAR,19,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,E/F Nº:  34,"A SER REVOGADA CONF PROC.:03/200.765/07 - inf em: 16/05/07=vagas a serem reservadas para ""Justiça""",28.009 D (DO 17/09/2004)
1.0,SAÚDE,AV BARÃO DE TEFÉ,AV VENEZUELA,RUA COELHO E CASTRO,ÍMPAR,22,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,E/F Nº:  75,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,AV BARÃO DE TEFÉ,AV VENEZUELA,RUA SACADURA CABRAL,PAR,17,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,E/F Nº:  74,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,AV BARÃO DE TEFÉ,RUA COELHO E CASTRO,RUA SACADURA CABRAL,IMPAR,14,ÚNICO,"SEG A SEX DAS 7H ÀS 19H - SÁB , DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº: 91 - 109,,35.134 (DO 04/09/2006)
1.0,SAÚDE,AV RODRIGUES ALVES,RUA EDGAR GORDILHO,AV BARÃO DE TEFÉ,IMPAR,20,ROTATIVO 2H,SEG A DOM DAS 7H ÀS 21H,AO LONGO DA VIA,ENTRE OS Nº:135-183,,31.313 (DO 18/08/2005)
1.0,SAÚDE,RUA ANIBAL FALCÃO,RUA COELHO E CASTRO,RUA SACADURA CABRAL,DIREITO,22,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,32.895 ( DO 02/02/2006) - Art.1º (III) -
1.0,SAÚDE,RUA ARGEMIRO BULCÃO,RUA COELHO E CASTRO,RUA SACADURA CABRAL,DIREITO,22,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,32.895 (DO 02/02/2006) - Art.1º ( IV ) -
1.0,SAÚDE,RUA ARGEMIRO BULCÃO,RUA COELHO E CASTRO,RUA SACADURA CABRAL,ESQUERDO,22,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,32.895 (DO 02/02/2006) - Art.1º ( V ) -
1.0,SAÚDE,RUA COELHO E CASTRO,AV BARÃO DE TEFÉ,RUA ARGEMIRO BULCÃO,IMPAR,77,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,32.895 ( DO 02/02/2006) - Art.1º ( I ) -
1.0,SAÚDE,RUA COELHO E CASTRO,RUA ARGEMIRO BULCÃO,EDGARD GORDILHO,IMPAR,45,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,32.895 ( DO 02/02/2006) - Art.1º ( II ) -
1.0,SAÚDE,RUA EDGAR GORDILHO,AV VENEZUELA,RUA SACADURA CABRAL,ÍMPAR,12,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  63,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,RUA EDGAR GORDILHO,RUA COELHO E CASTRO,RUA SACADURA CABRAL,DIREITO,20,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,RUA SACADURA CABRAL,RUA ANIBAL FALCÃO,RUA CAMERINO,PAR,23,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,"a ser alterado nº de vagas: 23 x 21, conf  Proc.:03/200.757/07 - inf em 15/05/07",28.009 D (DO 17/09/2004)
1.0,SAÚDE,RUA SACADURA CABRAL,RUA EDGAR GORDILHO,RUA DO ESCORREGA,PAR,11,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  62-40,,28.009 D (DO 17/09/2004)
1.0,SAÚDE,RUA SACADURA CABRAL,RUA EDGAR GORDINHO,RUA ARGEMIRO BULCÃO,PAR,28,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  102-110,,28.009 D (DO 17/09/2004)
1.0,VASCO DA GAMA,RUA SÃO JANUARIO,RUA SÃO LUIZ GONZAGA,RUA CARNEIRO DE CAMPOS,ÍMPAR,49,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  21-433,,32.507 (DO 21/12/2005)
2.1,BOTAFOGO,AV CARLOS PEIXOTO,RUA COELHO CINTRA,RUA GAL GOIS DE MONTEIRO,ÍMPAR,35,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,LADO OPOSTO Nº:  54 - 124 ,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,AV CARLOS PEIXOTO,RUA COELHO CINTRA,RUA GAL GOIS DE MONTEIRO,PAR,35,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 54 - 60,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,AV CARLOS PEIXOTO,RUA GAL GOES MONTEIRO,RUA COELHO CINTRA,PAR,27,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  124,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,AV REPORTER NESTOR MOREIRA,AV PASTEUR,ACESSO DA AV PASTEUR P/AV REP.NESTOR MOREIRA,ESQUERDO,14,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,JUNTO À PRAÇA PRAIA NOVA,,30.238 ( DO 25/04/2005 ) - INCISO: VII
2.1,BOTAFOGO,PRAÇA PRAIA NOVA,AV PASTEUR,AV REPORTER NESTOR MOREIRA,ESQUERDO,10,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,JUNTO À PRAÇA PRAIA NOVA,,30.238 (DO 25/04/2005) - INCISO VIII
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,AV OSWALDO CRUZ,RUA SENADOR VERGUEIRO,PAR,34,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 45 GRAUS DA VIA,ENTRE OS Nº: 120 - 132,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA MARQUÊS DE ABRANTES,RUA FARANI,CANTEIRO CENTRAL,47,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  154 -198,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA MARQUÊS DE ABRANTES,RUA SENADOR VERGUEIRO,CANTEIRO CENTRAL,14,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 124 -230(MQ ABRANTES),,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA PROF ALFREDO GOMES,RUA SÃO CLEMENTE,CANTEIRO CENTRAL,24,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 428 - 440,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA SÃO CLEMENTE,RUA VOLUNTÁRIOS DA PATRIA,PAR,43,ÚNICO,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,ENTRE OS Nº: 454 -484,,28.010 (DO 17/09/2004) E 32.051 - 1º- (DO 03/11/2005)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA VISCONDE DE OURO PRETO,RUA PROF ALFREDO GOMES,CANTEIRO CENTRAL,30,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 360 -400,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,AV OSWALDO CRUZ,RUA SENADOR VERGUEIRO,CANTEIRO CENTRAL,34,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 45 GRAUS DA VIA,ENTRE OS Nº: 120 - 132 - BOLSÃO,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,PRAIA DE BOTAFOGO,RUA SÃO CLEMENTE,RUA VOLUNTÁRIOS DA PATRIA,CANTEIRO CENTRAL,18,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 19H,A 45 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,30.884 - 2º- (DO 05/07/2005) E 32.051 - 2º- (DO 03/11/2005)
2.1,BOTAFOGO,RUA ALFREDO GOMES,RUA MUNIZ BARRETO,RUA BAMBINA,IMPAR,26,ÚNICO,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:730(R.M.BARRETO)-135(R.BAMBINA),,30.051 - V - (DO 05 E 07/04/2005)
2.1,BOTAFOGO,RUA ALFREDO GOMES,RUA MUNIZ BARRETO,RUA BAMBINA,PAR,23,ÚNICO,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:682(R.M.BARRETO)-48,,30.051 - VI - (DO 05 E 07/04/2005)
2.1,BOTAFOGO,RUA BARÃO DE ITAMBI,RUA CLARICE INDIO DO BRASIL,RUA FARANI,ÍMPAR,61,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 07 - 67,,28.010 (DO 17/09/2004)
2.1,BOTAFOGO,RUA BARÃO DE ITAMBI,RUA FARANI,PÇA CHAIM WEIZMANN,ÍMPAR,28,ÚNICO,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,E/F Nº:  55(RUA FARANI / BIB. PÚB),.,28.010 (DO 17/09/2004)
