AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA GOVERN RAUL VEIGA,RUA RAUL AMARO NIM FERREIRA,CANTEIRO CENTRAL,77,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA HÉLIO BARROS,RUA MANUEL JORGE LÍDIA,CANTEIRO CENTRAL,124,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA HÉLIO DE BRITO,RUA MANUEL JORGE LÍDIA,PAR,37,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17710,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA MAL OLYMPIO FALCONIERE,RUA EDUARDO PEDERNEIRAS,PAR,78,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 16800,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA MAL OLYMPIO FALCONIERE,RUA EDUARDO PEDERNEIRAS,CANTEIRO CENTRAL,103,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA MANUEL JORGE LÍDIA,AV GILKA MACHADO,PAR,30,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17900,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA NEWTON FONTOURA REIS,AV ALBERT SABIN,PAR,42,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17400,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA NEWTON FONTOURA REIS,AV ALBERT SABIN,CANTEIRO CENTRAL,44,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA RAUL AMARO NIM FERREIRA,RUA SOUZA LEÃO,PAR,80,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 16090,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA RAUL AMARO NIM FERREIRA,RUA SOUZA LEÃO,CANTEIRO CENTRAL,138,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA SOUZA LEÃO,AV GLAUCIO GIL,PAR,52,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 16296,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA SOUZA LEÃO,AV GLAUCIO GIL,CANTEIRO CENTRAL,78,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,PAR,23,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS POSTES-LIGHT Nº:9300/137-9300/129,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,PAR,10,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS POSTES-LIGHT Nº:9300/129(A 10M NO SENTIDO GRUMARI) - 9300/125,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,PAR,11,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS POSTES-LIGHT Nº:9300/119(A 10M NO SENTIDO GRUMARI) - 9300/115,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,PAR,13,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS POSTES-LIGHT Nº:9300/115(A 5M NO SENTIDO GRUMARI) - 9300/109,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,IMPAR,11,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS POSTES-LIGHT Nº:9300/107 - 9300/103,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,ESTR DO PONTAL,,,PAR,11,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,LADO OPOSTO AOS POSTES-LIGHT Nº:9300/107 - 9300/103,,30.085 (DO 06/04/2005)
4.0,RECREIO DOS BANDEIRANTES,PRAÇA DO PONTAL,AV BENVINDO DE NOVAES,AV GILKA MACHADO,ORLA,159,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,RUA ANTÔNIO MAROUN,RUA ARTHUR POSSOLO,RUA MAURÍCIO DA COSTA FARIA,IMPAR,14,ÚNICO,SEG A SEX DAS 7H ÀS 24H,AO LONGO DA VIA,LADO OPOSTO AO Nº:190,,32.090 (DO 08/11/2005)
4.0,RECREIO DOS BANDEIRANTES,RUA W1 ,ESTR DO PONTAL,FIM DE TRECHO,IMPAR,16,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 45 GRAUS DA VIA,BAIA A 13 M DO MEIO-FIO,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,VIA INOMINADA,ESTR DO PONTAL ,ESTR DO PONTAL,DIREITO,0,ÚNICO,SEG A DOM DAS 7H ÀS 19H,AO LONGO DA VIA,BAIA A 20M -NO SENTIDO DA ORLA- DE POSTE LIGHT Nº:9300/168,"Via inominada q liga a pista de rolamento da Estr.Pontal(sentido Barra/Grumari) à pista de rolamento da Estr.Pontal(sentido oposto), no trecho entre a pista de rolamento junto à orla e à pista de rolamento sentido Barra/Grumari, no sentido da primeira para a segunda.",
4.0,RECREIO DOS BANDEIRANTES,VIA INOMINADA PROLONGAMENTO DA RUA MAURÍCIO DA COSTA FARIA,RUA ANTONIO MAROUN,ALÇA DE ACESSO DA AV.BALTHAZAR DA SILVEIRA,-,31,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H - SÁB DAS 10H ÀS 22H,AO LONGO DA VIA,LADO OPOSTO AO Nº:580 (AV.ALFREDO BALTHAZAR DA SILVEIRA-SHOPPING BARRA WORLD) ,,33.979 (DO 22/05/2006) - I -
4.0,RECREIO DOS BANDEIRANTES,VIA INOMINADA PROLONGAMENTO DA RUA MAURÍCIO DA COSTA FARIA,ALÇA DE ACESSO DA AV.DAS AMÉRICAS,RUA ANTONIO MAROUN,-,31,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H - SÁB DAS 10H ÀS 22H,AO LONGO DA VIA,LADO OPOSTO AO Nº:13.701 (AV.DAS AMÉRICAS - SUPERMERCADO MUNDIAL) ,,33.979 (DO 22/05/2006) - II -
4.0,TAQUARA,AV NELSON CARDOSO,ESTR DO TINDIBA,RUA MAL JOSÉ BEVILAQUA,ÍMPAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 1243,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,ESTR DO TINDIBA,RUA MAL JOSÉ BEVILAQUA,ÍMPAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 1141,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,RUA BACAIRIS,ESTR DO TINDIBA,PAR,6,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 1202,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,RUA GODOFREDO VIANA,RUA BACAIRIS,PAR,9,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 1012,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,RUA GODOFREDO VIANA,RUA BACAIRIS,PAR,11,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 920,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,RUA MAL JOSÉ BEVILAQUA,TR CORTINS,ÍMPAR,11,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 995,,28.015 (DO 17/09/2004)
4.0,TAQUARA,AV NELSON CARDOSO,RUA MAL JOSÉ BEVILAQUA,TR CORTINS,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 917,,28.015 (DO 17/09/2004)
4.0,TAQUARA,ESTR DO GUERENGUÊ,PÇA SÃO CASEMIRO,RUA FREI RODOVALHO,PAR,13,ROTATIVO 4H,"SEG A SEXTA DAS 7H ÀS 19H - SÁB,DOM E FERIADOS DAS 7H ÀS 13H",A 45 GRAUS DA VIA,BAIA E/F AO Nº:1630(ESTR DO GUERENGUÊ),,32.807 (DO 24/01/2006) -Art.1º - IV -
4.0,TAQUARA,ESTR DO MAPUÁ,ESTR RODRIGUES CALDAS,PÇA SÃO CASEMIRO,PAR,15,ROTATIVO 4H,"SEG A SEXTA DAS 7H ÀS 19H - SÁB,DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,E/F AO Nº:760,,32.807 (DO 24/01/2006) -Art.1º - V -
